Source/Ref,Location,type,flow,Run,condition,No.,Source#,bp (m),H (m),T (s),y (m),Um (m/s),Ufm (m/s),V (m/s),d50 (mm),ys (m),theta,theta_cr,KC
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,1,live bed,1,1,0.02,0.12,1.6,0.42,0.214,0.0203,0,0.06,0.0018,0.46,0.11,7
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,2,live bed,2,1,0.04,0.12,1.6,0.42,0.214,0.0203,0,0.06,0.0136,0.46,0.11,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,3,live bed,3,1,0.04,0.17,1.6,0.42,0.289,0.0233,0,0.06,0.0192,0.61,0.095,12
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,4,live bed,4,1,0.04,0.13,2,0.42,0.265,0.0216,0,0.06,0.02,0.52,0.1,13
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,5,live bed,5,1,0.04,0.16,2.5,0.42,0.3,0.021,0,0.06,0.03,0.49,0.1,19
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,6,live bed,6,1,0.05,0.12,1.6,0.42,0.214,0.0203,0,0.06,0.033,0.46,0.11,17
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,7,live bed,7,1,0.08,0.11,1.2,0.42,0.14,0.0173,0,0.06,0,0.34,0.11,2
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,8,live bed,8,1,0.08,0.14,1.6,0.42,0.255,0.0223,0,0.06,0.0032,0.56,0.1,5
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,9,live bed,9,1,0.08,0.17,1.6,0.42,0.289,0.0233,0,0.06,0.0048,0.61,0.095,6
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,10,live bed,10,1,0.015,0.09,1.6,0.42,0.165,0.018,0,0.06,0.00555,0.36,0.11,18
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,11,live bed,11,1,0.015,0.07,2,0.42,0.161,0.0174,0,0.06,0.0075,0.33,0.11,22
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,12,live bed,12,1,0.02,0.09,1.6,0.42,0.165,0.018,0,0.06,0.004,0.36,0.11,12
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,13,live bed,13,1,0.02,0.07,2,0.42,0.161,0.0174,0,0.06,0.006,0.33,0.11,16
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,14,live bed,14,1,0.04,0.09,1.6,0.42,0.165,0.018,0,0.06,0.0012,0.36,0.11,7
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,15,live bed,15,1,0.04,0.07,2,0.42,0.161,0.0174,0,0.06,0.003,0.33,0.11,8
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,16,live bed,16,1,0.08,0.07,2.5,0.42,0.13,0.0138,0,0.06,0,0.21,0.13,4
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,17,live bed,17,1,0.024,0.15,1.2,0.42,0.185,0.0197,0,0.147,0.00312,0.16,0.06,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,18,live bed,18,1,0.024,0.05,2.2,0.42,0.136,0.0161,0,0.147,0,0.11,0.07,12
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,19,live bed,19,1,0.024,0.095,1.6,0.42,0.174,0.0184,0,0.147,0.0036,0.14,0.06,12
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,20,live bed,20,1,0.024,0.1,1.5,0.42,0.187,0.0197,0,0.147,0.006,0.16,0.06,12
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,21,live bed,21,1,0.024,0.12,1.4,0.42,0.201,0.0205,0,0.147,0.00504,0.18,0.06,12
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,22,live bed,22,1,0.024,0.1,1.45,0.42,0.192,0.0204,0,0.147,0.00552,0.18,0.06,12
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,23,live bed,23,1,0.024,0.12,1.35,0.42,0.205,0.0212,0,0.147,0.00504,0.19,0.06,12
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,24,live bed,24,1,0.024,0.14,1.3,0.42,0.215,0.0215,0,0.147,0.00576,0.2,0.06,12
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,25,live bed,25,1,0.024,0.16,1.25,0.42,0.225,0.022,0,0.147,0.00552,0.2,0.06,12
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,26,live bed,26,1,0.024,0.175,1.2,0.42,0.236,0.0228,0,0.147,0.00552,0.22,0.05,12
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,27,live bed,27,1,0.03,0.055,2,0.42,0.128,0.0155,0,0.147,0,0.1,0.07,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,28,live bed,28,1,0.03,0.09,1.6,0.42,0.165,0.018,0,0.147,0.0009,0.14,0.06,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,29,live bed,29,1,0.03,0.17,1.2,0.42,0.224,0.0221,0,0.147,0.0039,0.2,0.06,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,30,live bed,30,1,0.03,0.075,2,0.42,0.173,0.018,0,0.147,0.0039,0.14,0.06,12
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,31,live bed,31,1,0.03,0.125,1.6,0.42,0.22,0.0205,0,0.147,0.0069,0.18,0.06,12
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,32,live bed,32,1,0.04,0.075,2.5,0.42,0.14,0.0143,0,0.147,0,0.094,0.07,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,33,live bed,33,1,0.04,0.075,2,0.42,0.173,0.018,0,0.147,0.0012,0.13,0.06,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,34,live bed,34,1,0.04,0.08,1.95,0.42,0.182,0.0186,0,0.147,0.0024,0.14,0.06,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,35,live bed,35,1,0.04,0.077,1.9,0.42,0.176,0.0184,0,0.147,0.0036,0.14,0.06,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,36,live bed,36,1,0.04,0.085,1.85,0.42,0.192,0.0194,0,0.147,0.0044,0.16,0.06,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,37,live bed,37,1,0.04,0.1,1.8,0.42,0.199,0.0193,0,0.147,0.0056,0.16,0.06,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,38,live bed,38,1,0.04,0.105,1.75,0.42,0.202,0.0195,0,0.147,0.0044,0.16,0.06,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,39,live bed,39,1,0.04,0.11,1.7,0.42,0.208,0.0193,0,0.147,0.004,0.16,0.06,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,40,live bed,40,1,0.04,0.095,1.65,0.42,0.212,0.0212,0,0.147,0.0044,0.17,0.06,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,41,live bed,41,1,0.04,0.12,1.6,0.42,0.224,0.021,0,0.147,0.0052,0.19,0.06,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,42,live bed,42,1,0.04,0.13,1.8,0.42,0.256,0.0218,0,0.147,0.0092,0.2,0.06,12
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,43,live bed,43,1,0.04,0.13,2,0.42,0.265,0.0216,0,0.147,0.0112,0.2,0.06,13
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,44,live bed,44,1,0.04,0.16,2.5,0.42,0.3,0.021,0,0.147,0.0192,0.18,0.06,19
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,45,live bed,45,1,0.05,0.17,1.5,0.42,0.304,0.0249,0,0.147,0.0065,0.26,0.05,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,46,live bed,46,1,0.05,0.12,2.5,0.42,0.23,0.0184,0,0.147,0.011,0.15,0.06,12
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,47,live bed,47,1,0.08,0.14,2.5,0.42,0.275,0.0203,0,0.147,0.0096,0.17,0.06,9
"Sumer, Hatipoglu, Fredsoe, 2007",Lab,Single Pier,no,48,live bed,48,1,0.08,0.175,2.5,0.42,0.37,0.0242,0,0.147,0.0192,0.25,0.05,12
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,1-flume,live-bed,49,2,0.09,0,2.5,0,0.157,0,0,0.16,0.0054,0,0,4
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,2-flume,live-bed,50,2,0.09,0,2.5,0,0.157,0,0.085,0.16,0.0099,0,0,4
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,3-flume,live-bed,51,2,0.09,0,2.5,0,0.157,0,0.157,0.16,0.0504,0,0,4
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,4-flume,live-bed,52,2,0.09,0,2.5,0,0.157,0,0.292,0.16,0.0747,0,0,4
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,5-flume,live-bed,53,2,0.09,0,3.125,0,0.231,0,0,0.16,0.0099,0,0,8
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,6-flume,live-bed,54,2,0.09,0,3.125,0,0.231,0,0.133,0.16,0.045,0,0,8
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,7-flume,live-bed,55,2,0.09,0,3.125,0,0.231,0,0.231,0.16,0.0702,0,0,8
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,8-flume,live-bed,56,2,0.09,0,3.125,0,0.231,0,0.459,0.16,0.0954,0,0,8
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,9-flume,live-bed,57,2,0.03,0,3.225806,0,0.242,0,0,0.16,0.0249,0,0,26
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,10-flume,live-bed,58,2,0.03,0,3.225806,0,0.242,0,0.13,0.16,0.0399,0,0,26
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,11-flume,live-bed,59,2,0.03,0,3.225806,0,0.242,0,0.242,0.16,0.045,0,0,26
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,12-flume,live-bed,60,2,0.03,0,3.225806,0,0.242,0,0.449,0.16,0.0501,0,0,26
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,15-basin,live-bed,61,2,0.055,0,3.333333,0.4,0.177,0,0,0.2,0.0055,0,0,10.7
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,16-basin,live-bed,62,2,0.055,0,3.333333,0.4,0.177,0,0.04,0.2,0.0154,0,0,10.7
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,17-basin,live-bed,63,2,0.055,0,3.333333,0.4,0.177,0,0.12,0.2,0.02695,0,0,10.7
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,18-basin,live-bed,64,2,0.055,0,3.333333,0.4,0.177,0,0.23,0.2,0.03575,0,0,10.7
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,19-basin,live-bed,65,2,0.055,0,3.333333,0.4,0.177,0,0.47,0.2,0.06215,0,0,10.7
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,20-basin,live-bed,66,2,0.055,0,3.333333,0.4,0.177,0,0.84,0.2,0.06875,0,0,10.7
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,21-basin,live-bed,67,2,0.032,0,3.333333,0.4,0.177,0,0,0.2,0.01152,0,0,18
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,22-basin,live-bed,68,2,0.032,0,3.333333,0.4,0.177,0,0,0.2,0.00928,0,0,18
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,23-basin,live-bed,69,2,0.032,0,3.333333,0.4,0.177,0,0.04,0.2,0.016,0,0,18
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,24-basin,live-bed,70,2,0.032,0,3.333333,0.4,0.177,0,0.12,0.2,0.0192,0,0,18
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,25-basin,live-bed,71,2,0.032,0,3.333333,0.4,0.177,0,0.23,0.2,0.03616,0,0,18
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,26-basin,live-bed,72,2,0.032,0,3.333333,0.4,0.177,0,0.47,0.2,0.04896,0,0,18
"Sumer, Fredsoe, 2001, wave+current",Lab,Single Pier,yes,27-basin,live-bed,73,2,0.032,0,3.333333,0.4,0.177,0,0.84,0.2,0.04832,0,0,18
"Mostafa, Agamy, 2011",Lab,Single Pier,yes,single-1,clear-water,74,3,0.076,0.12,0,0.15,0,0,0.25,0.5,0.038,0,0,10
"Mostafa, Agamy, 2011",Lab,Single Pier,yes,single-2,clear-water,75,3,0.076,0.1,0,0.15,0,0,0.25,0.5,0.024,0,0,7
"Mostafa, Agamy, 2011",Lab,Single Pier,yes,single-3,clear-water,76,3,0.076,0.12,0,0.2,0,0,0.167,0.5,0.016,0,0,6
"Mostafa, Agamy, 2011",Lab,Single Pier,yes,single-6,clear-water,77,3,0.076,0.12,0,0.15,0,0,0,0.5,0.012,0,0,10
"Mostafa, Agamy, 2011",Lab,Single Pier,yes,single-7,clear-water,78,3,0.076,0.1,0,0.15,0,0,0,0.5,0.009,0,0,7
"Mostafa, Agamy, 2011",Lab,Single Pier,yes,single-8,clear-water,79,3,0.076,0.12,0,0.2,0,0,0,0.5,0.007,0,0,6
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,80,4,0.05,0,1.190476,0,0.208,0.033,0,0.18,0,0.37,0,4.9
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,81,4,0.05,0,1.219512,0,0.224,0.023,0,0.18,0,0.18,0,5.4
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,82,4,0.05,0,2.5,0,0.114,0.013,0,0.18,0,0.06,0,5.7
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,83,4,0.05,0,1.369863,0,0.233,0.022,0,0.18,0.006,0.17,0,6.4
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,84,4,0.03,0,1.190476,0,0.208,0.022,0,0.18,0.0018,0.16,0,8.2
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,85,4,0.05,0,1.470588,0,0.307,0.025,0,0.18,0.011,0.22,0,9.1
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,86,4,0.05,0,2.325581,0,0.193,0.018,0,0.18,0.0075,0.11,0,9
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,87,4,0.03,0,1.219512,0,0.224,0.023,0,0.18,0.0051,0.18,0,9.1
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,88,4,0.03,0,2.5,0,0.112,0.013,0,0.18,0.0024,0.06,0,9.2
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,89,4,0.03,0,1.369863,0,0.233,0.022,0,0.18,0.006,0.17,0,10.6
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,90,4,0.05,0,2.702703,0,0.237,0.019,0,0.18,0.015,0.12,0,12.9
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,91,4,0.05,0,2,0,0.339,0.024,0,0.18,0.015,0.2,0,13.6
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,92,4,0.03,0,2.325581,0,0.193,0.018,0,0.18,0.0111,0.11,0,15
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,93,4,0.03,0,1.470588,0,0.307,0.025,0,0.18,0.0165,0.22,0,15.1
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,94,4,0.03,0,3.125,0,0.183,0.016,0,0.18,0.0075,0.09,0,19.1
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,95,4,0.03,0,2,0,0.304,0.023,0,0.18,0.0225,0.19,0,20.2
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,96,4,0.05,0,2.702703,0,0.378,0.024,0,0.18,0.0215,0.2,0,20.4
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,97,4,0.03,0,2.702703,0,0.237,0.019,0,0.18,0.0126,0.12,0,21.4
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,98,4,0.02,0,2.325581,0,0.193,0.018,0,0.18,0.0086,0.11,0,22.4
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,99,4,0.02,0,2.941176,0,0.222,0.018,0,0.18,0.0116,0.11,0,32.3
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,100,4,0.03,0,3.571429,0,0.268,0.019,0,0.18,0.0126,0.12,0,32.3
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,101,4,0.03,0,2.702703,0,0.378,0.024,0,0.18,0.0201,0.2,0,34
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,102,4,0.02,0,2.702703,0,0.378,0.024,0,0.18,0.016,0.2,0,51
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,103,4,0.01,0,2.702703,0,0.378,0.024,0,0.18,0.011,0.2,0,102
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,104,4,0.05,0,1.219512,0,0.224,0.023,0,0.58,0,0.05,0,5.4
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,105,4,0.05,0,1.369863,0,0.233,0.022,0,0.58,0,0.05,0,6.4
Sumer-Fredsoe-Christiansen-1992,Lab,Single Pier,No,series1-run,live bed,106,4,0.05,0,1.818182,0,0.199,0.019,0,0.58,0,0.04,0,7.2
